Time,CF 3.0 V (1-1),CF 2.0 V (2-1),CF 2.5 V (3-1),CF 2.0 V (3-2),CF 2.0 V (4-1),CF 1.5 V (5-1),CF 1.5 V (6-1),CF 3.0 V (8-2),CF X-Ray,MC 1.5 V (1-2),MC 2.0 V (2-1),MC 2.5 V (2-2),MC 2.5 V (3-1),MC 3.0 V (4-1),MC 2.5 V (5-1),MC 2.0 V (5-2),MC 1.5 V (7-1),MC X-Ray
12.33333333,0.305587256,0.293073001,0.302292305,0.302357572,0.299623816,0.297901763,0.297332484,0.303296131,0.29953097,0.300493727,0.292181127,0.298978535,0.315460351,0.309230125,0.298117612,0.301478094,0.299617851,0.286418907
12.5,0.305854991,0.293271907,0.302515842,0.302640165,0.299545573,0.297931194,0.297349442,0.303200496,0.299720457,0.300521662,0.292513435,0.299196552,0.31553387,0.309555237,0.298374387,0.301775909,0.299703211,0.286498991
12.66666667,0.305876884,0.293540884,0.302585434,0.302827031,0.299666815,0.29806646,0.297399344,0.303095462,0.29979856,0.300749217,0.292525334,0.299434734,0.315745977,0.309738364,0.298318653,0.30198217,0.299982034,0.286873137
12.83333333,0.305900137,0.293601332,0.302730485,0.302889127,0.299853742,0.298338184,0.297519358,0.303133447,0.299749703,0.300816855,0.292593975,0.299535859,0.315975386,0.30992187,0.298446484,0.30221299,0.300115426,0.28694458
13,0.30591826,0.293920044,0.302759074,0.302912403,0.299855161,0.29830905,0.297652774,0.303117321,0.300017295,0.300917061,0.292627287,0.299593736,0.316173812,0.309924569,0.298468391,0.30234959,0.300315148,0.286845912
13.16666667,0.30594618,0.294119285,0.302691184,0.303282256,0.299990587,0.298356731,0.297779927,0.30318425,0.29997501,0.301046661,0.292621225,0.299560994,0.316317178,0.31026939,0.298651881,0.302490519,0.30029083,0.287344146
13.33333333,0.305772801,0.29425047,0.302977248,0.303290791,0.299964996,0.298447471,0.297927166,0.303245573,0.300036492,0.301236699,0.292759648,0.299693044,0.31659176,0.310472436,0.298679739,0.302500788,0.300638228,0.287474194
13.5,0.305828018,0.294535022,0.302758185,0.303308602,0.299951988,0.29840915,0.297975654,0.30342454,0.30032278,0.301103959,0.292741396,0.300089839,0.31675777,0.310648707,0.298700116,0.302686486,0.300666655,0.287629517
13.66666667,0.305568772,0.294791443,0.30280736,0.30338882,0.300112267,0.298493853,0.298126229,0.303554619,0.300179215,0.301266173,0.29251483,0.300136353,0.316988003,0.310799137,0.298876356,0.302782826,0.300756442,0.287657004
13.83333333,0.305686598,0.295143748,0.302910868,0.303556895,0.300051876,0.298636528,0.298287524,0.303685431,0.300531754,0.301331566,0.292618364,0.300214976,0.317212813,0.310958656,0.29889715,0.302896084,0.300738928,0.288062244
14,0.305531195,0.295161978,0.302978241,0.303564808,0.30022382,0.298711041,0.29851509,0.303800948,0.300449594,0.301442102,0.29237372,0.300220008,0.317435373,0.311323923,0.298735573,0.303003555,0.30097514,0.288101659
14.16666667,0.305497728,0.295466781,0.303198162,0.303706766,0.300229228,0.298870786,0.298513432,0.303849285,0.300458224,0.301654586,0.292517834,0.300343802,0.317790338,0.311556005,0.298895288,0.303185116,0.301000469,0.288142401
14.33333333,0.305551006,0.295636344,0.303118668,0.303804964,0.300299203,0.298891608,0.298777532,0.30398897,0.300540931,0.301775201,0.292158465,0.300645166,0.318049704,0.31163653,0.29896941,0.303272553,0.301299479,0.288256161
14.5,0.305736928,0.295834685,0.303260497,0.303690518,0.300416962,0.298941929,0.29892812,0.304112577,0.300620615,0.301707385,0.292614986,0.300632439,0.31818575,0.311908522,0.29904313,0.303343711,0.301441732,0.288458724
14.66666667,0.305885414,0.295923557,0.303090212,0.30402131,0.300438606,0.29911741,0.298938194,0.304109441,0.300806709,0.301956708,0.292216659,0.300782537,0.318507648,0.312174287,0.299186555,0.30352696,0.301429928,0.288497466
14.83333333,0.30600917,0.296018724,0.303066163,0.304017509,0.300442208,0.299167011,0.299077082,0.30419983,0.300877125,0.301925335,0.292142912,0.30093138,0.318550595,0.312289993,0.299096605,0.303622109,0.301685673,0.288835917
15,0.306217077,0.296314277,0.302899491,0.304031744,0.300517069,0.299225235,0.299257455,0.304293256,0.30093385,0.302106153,0.292259955,0.30094875,0.318740901,0.31253041,0.299138972,0.303853141,0.301844168,0.288876311
15.16666667,0.306539646,0.296423105,0.302680108,0.30426128,0.300660582,0.299360347,0.299417567,0.30443992,0.300944934,0.302146728,0.292421288,0.301085935,0.318807901,0.312557812,0.299188527,0.303891889,0.3018594,0.28914655
15.33333333,0.30665673,0.296834294,0.302761244,0.304434512,0.300674487,0.299739098,0.299545973,0.304471164,0.301091879,0.302392822,0.292402078,0.30119806,0.31913285,0.312676156,0.299118838,0.304031862,0.302019499,0.288968391
15.5,0.306817271,0.296905578,0.30267248,0.304437681,0.300828981,0.299716089,0.299719178,0.304586429,0.301295472,0.302400826,0.292871599,0.301079486,0.319251519,0.312952049,0.299396852,0.304269905,0.302162511,0.289148726
